"Date","All"
"Oct-1988","NA"
"Sep-1988","NA"
"Aug-1988","NA"
"Jul-1988","NA"
"Jun-1988","NA"
"May-1988","NA"
"Apr-1988","NA"
"Mar-1988","NA"
"Feb-1988","NA"
"Jan-1988","NA"
"Dec-1987","NA"
"Nov-1987","NA"
"Oct-1987","NA"
"Sep-1987","NA"
"Aug-1987","NA"
"Jul-1987","NA"
"Jun-1987","NA"
"May-1987","NA"
"Apr-1987","NA"
"Mar-1987","NA"
"Feb-1987","NA"
"Jan-1987","NA"
"Dec-1986","NA"
"Nov-1986","NA"
"Oct-1986","NA"
"Sep-1986","NA"
"Aug-1986","NA"
"Jul-1986","NA"
"Jun-1986","NA"
"May-1986","NA"
"Apr-1986","NA"
"Mar-1986","NA"
"Feb-1986","NA"
"Jan-1986","NA"
"Dec-1985","NA"
"Nov-1985","NA"
"Oct-1985","NA"
"Sep-1985","NA"
"Aug-1985","NA"
"Jul-1985","NA"
"Jun-1985","NA"
"May-1985","NA"
"Apr-1985","NA"
"Mar-1985","NA"
"Feb-1985","NA"
"Jan-1985","NA"
"Dec-1984","NA"
"Nov-1984","NA"
"Oct-1984","NA"
"Sep-1984","NA"
"Aug-1984","NA"
"Jul-1984","NA"
"Jun-1984","NA"
"May-1984","NA"
"Apr-1984","NA"
"Mar-1984","NA"
"Feb-1984","NA"
"Jan-1984","NA"
"Dec-1983","NA"
"Nov-1983","NA"
"Oct-1983","NA"
"Sep-1983","NA"
"Aug-1983","NA"
"Jul-1983","NA"
"Jun-1983","NA"
"May-1983","NA"
"Apr-1983","NA"
"Mar-1983","NA"
"Feb-1983","NA"
"Jan-1983","NA"
"Dec-1982","NA"
"Nov-1982","NA"
"Oct-1982","NA"
"Sep-1982","NA"
"Aug-1982","NA"
"Jul-1982","NA"
"Jun-1982","NA"
"May-1982","NA"
"Apr-1982","NA"
"Mar-1982","NA"
"Feb-1982","NA"
"Jan-1982","NA"
"Dec-1981","NA"
"Nov-1981","NA"
"Oct-1981","NA"
"Sep-1981","NA"
"Aug-1981","NA"
"Jul-1981","NA"
"Jun-1981","NA"
"May-1981","NA"
"Apr-1981","NA"
"Mar-1981","NA"
"Feb-1981","NA"
"Jan-1981","NA"
"Dec-1980","NA"
"Nov-1980","NA"
"Oct-1980","NA"
"Sep-1980","NA"
"Aug-1980","NA"
"Jul-1980","NA"
"Jun-1980","NA"
"May-1980","NA"
"Apr-1980","NA"
"Mar-1980","NA"
"Feb-1980","NA"
"Jan-1980","NA"
"Dec-1979","NA"
"Nov-1979","NA"
"Oct-1979","NA"
"Sep-1979","NA"
"Aug-1979","NA"
"Jul-1979","NA"
"Jun-1979","NA"
"May-1979","NA"
"Apr-1979","NA"
"Mar-1979","NA"
"Feb-1979","NA"
"Jan-1979","NA"
"Dec-1978","NA"
