"Cost Weights based on Relative importance of components in the Consumer Price Indexes: U.S. city average, December 2024",,,,
Item Code,Item Title,"CPI-U Cost Weight, 202412","CPI-U Index Level, 202412","CPI-U Relative Importance, 202412"
SERA04,"Purchase, subscription, and rental of video",15030756000,76.335,0.156
SERA05,Audio equipment,5106603000,24.174,0.053
SERA06,Recorded music and music subscriptions,7226325000,87.310,0.075
SERA09,Unsampled video and audio,481755000,,0.005
SERB01,Pets and pet products,60893832000,238.711,0.632
SERB02,Pet services including veterinary,51066030000,350.192,0.530
SERC01,Sports vehicles including bicycles,23124240000,169.110,0.240
SERC02,Sports equipment,21582624000,83.351,0.224
SERC09,Unsampled sporting goods,1541616000,,0.016
SERD01,Photographic equipment and supplies,1830669000,66.981,0.019
SERD02,Photographers and photo processing,5299305000,131.756,0.055
SERD09,Unsampled photography,0,,0.000
SERE01,Toys,27460035000,27.092,0.285
SERE02,"Sewing machines, fabric and supplies",2216073000,107.075,0.023
SERE03,Music instruments and accessories,4239444000,124.167,0.044
SERE09,Unsampled recreation commodities,1348914000,,0.014
SERF01,"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees",78718767000,167.395,0.817
SERF02,Admissions,71107038000,467.948,0.738
SERF03,Fees for lessons or instructions,16186968000,402.090,0.168
SERF09,Unsampled recreation services,31603128000,,0.328
SERG01,Newspapers and magazines,5106603000,222.190,0.053
SERG02,Recreational books,4335795000,97.433,0.045
SERG09,Unsampled recreational reading materials,0,,0.000
SETA01,New vehicles,423269943000,177.552,4.393
SETA02,Used cars and trucks,230375241000,180.317,2.391
SETA03,Leased cars and trucks,38251347000,115.627,0.397
SETA04,Car and truck rental,12525630000,151.989,0.130
SETA09,Unsampled new and used motor vehicles,13103736000,,0.136
SETB01,Gasoline (all types),279610602000,270.667,2.902
SETB02,Other motor fuels,7804431000,260.056,0.081
SETC01,Tires,28616247000,153.774,0.297
SETC02,Vehicle accessories other than tires,6262815000,220.338,0.065
SETD01,Motor vehicle body work,5202954000,428.545,0.054
SETD02,Motor vehicle maintenance and servicing,48946308000,357.139,0.508
SETD03,Motor vehicle repair,38058645000,277.058,0.395
SETD09,Unsampled service policies,5973762000,,0.062
SETE,Motor vehicle insurance,269397396000,868.417,2.796
SETF01,State motor vehicle registration and license fees,27363684000,199.233,0.284
SETF03,Parking and other fees,19077498000,229.312,0.198
SETF09,Unsampled motor vehicle fees,1252563000,,0.013
SETG01,Airline fares,88450218000,262.556,0.918
SETG02,Other intercity transportation,21486273000,162.184,0.223
SETG03,Intracity transportation,31025022000,344.423,0.322
SETG09,Unsampled public transportation,385404000,,0.004
