"Table 4.1.  All Individual Returns Excluding Dependents: Number of Returns, Shares of Adjusted Gross Income (AGI) and Total Income Tax, 
AGI Floor on Percentiles in Current and Constant Dollars, and Average Tax Rates, by Selected Expanded Descending Cumulative Percentiles  of Returns Based on Income Size Using the Definition of AGI for Each Year, Tax Years 2001-2022 ",,,,,,,,,,,,,,,,,,
[All figures are estimates based on samples],,,,,,,,,,,,,,,,,,
"Item, tax year",Total,Descending cumulative percentiles,,,,,,,,,,,,,,,,
2007,"[4] 132,654,911","1,327","13,265","132,654","1,326,549","2,653,098","3,979,647","5,306,196","6,632,746","13,265,491","26,530,982","33,163,728","39,796,473","53,061,964","66,327,456",,,
2008,"132,891,770","1,329","13,289","132,892","1,328,918","2,657,835","3,986,753","5,315,671","6,644,589","13,289,177","26,578,354","33,222,943","39,867,531","53,156,708","66,445,885",,,
2009,"132,619,936","1,326","13,262","132,620","1,326,199","2,652,399","3,978,598","5,304,797","6,630,997","13,261,994","26,523,987","33,154,984","39,785,981","53,047,974","66,309,968",,,
2010,"135,033,492","1,350","13,503","135,033","1,350,335","2,700,670","4,051,005","5,401,340","6,751,675","13,503,349","27,006,698","33,758,373","40,510,048","54,013,397","67,516,746",,,
2011,"136,585,712","1,366","13,659","136,586","1,365,857","2,731,714","4,097,571","5,463,428","6,829,286","13,658,571","27,317,142","34,146,428","40,975,714","54,634,285","68,292,856",,,
2012,"136,080,353","1,361","13,608","136,080","1,360,804","2,721,607","4,082,411","5,443,214","6,804,018","13,608,035","27,216,071","34,020,088","40,824,106","54,432,141","68,040,177",,,
2013,"138,313,155","1,383","13,831","138,313","1,383,132","2,766,263","4,149,395","5,532,526","6,915,658","13,831,316","27,662,631","34,578,289","41,493,947","55,325,262","69,156,578",,,
2014,"139,562,034","1,396","13,956","139,562","1,395,620","2,791,241","4,186,861","5,582,481","6,978,102","13,956,203","27,912,407","34,890,509","41,868,610","55,824,814","69,781,017",,,
2015,"141,204,625","1,412","14,120","141,205","1,412,046","2,824,093","4,236,139","5,648,185","7,060,231","14,120,463","28,240,925","35,301,156","42,361,388","56,481,850","70,602,313",,,
2016,"140,888,785","1,409","14,089","140,889","1,408,888","2,817,776","4,226,664","5,635,551","7,044,439","14,088,879","28,177,757","35,222,196","42,266,636","56,355,514","70,444,393",,,
2017,"143,295,160","1,433","14,330","143,295","1,432,952","2,865,903","4,298,855","5,731,806","7,164,758","14,329,516","28,659,032","35,823,790","42,988,548","57,318,064","71,647,580",,,
2018,"144,317,866","1,443","14,432","144,318","1,443,179","2,886,357","4,329,536","5,772,715","7,215,893","14,431,787","28,863,573","36,079,467","43,295,360","57,727,146","72,158,933",,,
2019,"148,245,929","1,482","14,825","148,246","1,482,459","2,964,919","4,447,378","5,929,837","7,412,296","14,824,593","29,649,186","37,061,482","44,473,779","59,298,372","74,122,965",,,
2020,"157,494,242","1,575","15,749","157,494","1,574,942","3,149,885","4,724,827","6,299,770","7,874,712","15,749,424","31,498,848","39,373,561","47,248,273","62,997,697","78,747,121",,,
2021,"153,589,907","1,536","15,359","153,590","1,535,899","3,071,798","4,607,697","6,143,596","7,679,495","15,358,991","30,717,981","38,397,477","46,076,972","61,435,963","76,794,954",,,
2022,"153,801,397","1,538","15,380","153,801","1,538,014","3,076,028","4,614,042","6,152,056","7,690,070","15,380,140","30,760,279","38,450,349","46,140,419","61,520,559","76,900,699",,,
Adjusted gross income floor on percentiles (current whole dollars):,,,,,,,,,,,,,,,,,,
2001,N/A,"31,331,335","6,869,952","1,393,718","306,635","207,592","167,788","145,667","132,082","96,151","67,818","59,026","51,863","40,293","31,418",,,
2002,N/A,"25,921,482","5,891,214","1,245,352","296,194","200,654","164,409","144,575","130,750","95,699","67,928","59,066","51,721","40,073","31,299",,,
2003,N/A,"28,489,160","6,386,149","1,317,088","305,939","205,565","168,248","147,132","133,741","97,470","69,304","59,896","52,353","40,383","31,447",,,
2004,N/A,"38,780,500","8,455,107","1,617,918","339,993","224,320","181,127","156,665","140,758","101,838","72,069","62,794","54,765","42,081","32,622",,,
2005,N/A,"50,796,495","10,738,867","1,938,175","379,261","245,392","194,726","167,281","149,216","106,864","74,790","64,821","56,583","43,361","33,484",,,
2006,N/A,"54,665,360","11,649,460","2,124,625","402,603","258,800","205,835","176,455","157,390","112,016","77,776","67,291","58,505","44,748","34,417",,,
2007,N/A,"62,955,875","12,747,384","2,251,017","426,439","270,440","214,832","184,473","164,883","116,396","80,723","69,559","60,617","46,200","35,541",,,
2008,N/A,"49,546,782","10,097,827","1,867,652","392,513","260,381","209,750","181,624","163,512","116,813","80,886","69,813","60,535","46,120","35,340",,,
2009,N/A,"34,381,494","7,206,540","1,469,393","351,968","243,096","198,731","174,432","157,342","114,181","79,237","68,216","58,876","44,529","34,156",,,
2010,N/A,"45,039,369","8,762,618","1,634,386","369,691","252,785","205,942","179,023","161,579","116,623","80,462","69,126","59,512","44,895","34,338",,,
2011,N/A,"41,965,258","8,830,028","1,717,675","388,905","262,933","213,441","185,812","167,728","120,136","82,241","70,492","60,789","45,722","34,823",,,
2012,N/A,"62,068,187","12,104,014","2,161,175","434,682","285,908","227,923","196,416","175,817","125,195","85,440","73,354","63,222","47,475","36,055",,,
2013,N/A,"45,097,112","9,460,540","1,860,848","428,713","287,018","231,507","200,472","179,760","127,695","87,434","74,955","64,650","48,463","36,841",,,
2014,N/A,"56,981,718","11,407,987","2,136,762","465,626","306,650","245,902","211,261","188,996","133,445","90,606","77,714","66,868","50,083","38,173",,,
2015,N/A,"59,380,503","11,930,649","2,220,264","480,930","316,913","253,979","218,911","195,778","138,031","93,212","79,655","68,632","51,571","39,275",,,
2016,N/A,"53,052,900","10,963,921","2,124,117","480,804","319,796","256,673","221,381","197,651","139,713","94,620","80,921","69,581","52,529","40,078",,,
2017,N/A,"63,430,119","12,899,070","2,374,937","515,371","339,478","271,182","232,955","208,053","145,135","97,870","83,682","72,268","54,672","41,740",,,
2018,N/A,"68,934,261","13,576,286","2,514,209","540,009","359,368","286,106","245,050","217,913","151,935","101,765","87,044","75,083","57,092","43,614",,,
2019,N/A,"60,658,598","12,623,539","2,458,432","546,434","364,693","291,384","249,320","221,572","154,589","103,012","87,917","75,991","57,685","44,269",,,
2020,N/A,"77,008,517","14,757,246","2,614,565","548,336","366,358","290,860","248,513","220,521","152,321","100,723","85,853","73,572","55,213","42,184",,,
2021,N/A,"118,014,696","22,756,244","3,775,593","682,577","438,779","342,107","287,682","252,840","169,800","110,805","94,440","81,227","61,108","46,637",,,
2022,N/A,"85,464,888","17,855,123","3,271,387","663,164","438,918","349,616","296,859","261,591","178,611","117,162","99,857","85,961","65,388","50,339",,,
Adjusted gross income floor on percentiles (constant whole dollars): [1], ,,,,,,,,,,,,,,,,,
2001,N/A,"23,122,756","5,070,075","1,028,574","226,299","153,204","123,829","107,503","97,477","70,960","50,050","43,562","38,275","29,737","23,187",,,
2002,N/A,"18,838,286","4,281,406","905,052","215,257","145,824","119,483","105,069","95,022","69,549","49,366","42,926","37,588","29,123","22,746",,,
2003,N/A,"20,233,778","4,535,617","935,432","217,286","145,998","119,494","104,497","94,987","69,226","49,222","42,540","37,183","28,681","22,335",,,
2004,N/A,"26,837,716","5,851,285","1,119,666","235,289","155,239","125,347","108,419","97,410","70,476","49,875","43,456","37,900","29,122","22,576",,,
2005,N/A,"34,000,331","7,187,997","1,297,306","253,856","164,252","130,339","111,969","99,877","71,529","50,060","43,388","37,873","29,023","22,412",,,
2006,N/A,"35,450,947","7,554,773","1,377,837","261,091","167,834","133,486","114,433","102,069","72,643","50,438","43,639","37,941","29,019","22,320",,,
2007,N/A,"39,694,751","8,037,443","1,419,305","268,877","170,517","135,455","116,313","103,962","73,390","50,897","43,858","38,220","29,130","22,409",,,
2008,N/A,"30,083,049","6,131,043","1,133,972","238,320","158,094","127,353","110,276","99,279","70,925","49,111","42,388","36,755","28,002","21,457",,,
2009,N/A,"20,951,550","4,391,554","895,425","214,484","148,139","121,104","106,296","95,882","69,580","48,286","41,570","35,878","27,135","20,814",,,
2010,N/A,"27,002,020","5,253,368","979,848","221,637","151,550","123,466","107,328","96,870","69,918","48,239","41,442","35,679","26,915","20,586",,,
2011,N/A,"24,384,229","5,130,754","998,068","225,976","152,779","124,021","107,967","97,460","69,806","47,787","40,960","35,322","26,567","20,234",,,
2012,N/A,"35,346,348","6,892,946","1,230,737","247,541","162,818","129,797","111,854","100,124","71,296","48,656","41,773","36,003","27,036","20,532",,,
2013,N/A,"25,301,633","5,307,815","1,044,025","240,528","161,031","129,886","112,474","100,854","71,643","49,055","42,053","36,272","27,190","20,670",,,
2014,N/A,"31,464,229","6,299,275","1,179,880","257,110","169,326","135,782","116,654","104,360","73,686","50,031","42,912","36,923","27,655","21,078",,,
2015,N/A,"32,752,622","6,580,612","1,224,635","265,268","174,800","140,088","120,745","107,986","76,134","51,413","43,935","37,855","28,445","21,663",,,
2016,N/A,"28,895,915","5,971,635","1,156,926","261,876","174,181","139,800","120,578","107,653","76,096","51,536","44,075","37,898","28,611","21,829",,,
2017,N/A,"33,829,397","6,879,504","1,266,633","274,865","181,055","144,630","124,243","110,962","77,405","52,197","44,630","38,543","29,158","22,261",,,
2018,N/A,"35,884,571","7,067,301","1,308,802","281,108","187,073","148,936","127,564","113,437","79,092","52,975","45,312","39,085","29,720","22,704",,,
2019,N/A,"31,011,553","6,453,752","1,256,867","279,363","186,448","148,969","127,464","113,278","79,033","52,665","44,947","38,850","29,491","22,632",,,
2020,N/A,"38,893,190","7,453,155","1,320,487","276,937","185,029","146,899","125,512","111,374","76,930","50,870","43,360","37,158","27,885","21,305",,,
2021,N/A,"57,935,541","11,171,450","1,853,507","335,089","215,405","167,946","141,228","124,124","83,358","54,396","46,362","39,876","29,999","22,895",,,
2022,N/A,"38,171,008","7,974,597","1,461,093","296,188","196,033","156,148","132,586","116,834","79,773","52,328","44,599","38,393","29,204","22,483",,,
Adjusted gross income (millions of dollars): , ,,,,,,,,,,,,,,,,,
2001,"6,116,274","84,705","216,684","492,437","1,064,928","1,360,872","1,582,562","1,768,355","1,933,563","2,599,650","3,555,692","3,933,186","4,263,535","4,810,102","5,235,273",,,
2002,"5,982,260","68,565","179,420","420,987","960,352","1,247,308","1,463,587","1,647,849","1,812,094","2,472,326","3,431,568","3,811,534","4,143,048","4,689,683","5,114,828",,,
2003,"6,156,994","83,238","206,010","465,594","1,030,178","1,327,075","1,549,825","1,738,945","1,907,837","2,586,777","3,572,674","3,961,657","4,300,174","4,855,774","5,286,949",,,
2004,"6,734,554","111,932","280,449","615,494","1,278,879","1,610,803","1,855,778","2,061,398","2,243,098","2,968,169","4,010,897","4,423,150","4,782,507","5,371,578","5,826,206",,,
2005,"7,365,689","143,370","362,581","783,762","1,560,659","1,932,055","2,202,354","2,426,492","2,623,077","3,400,596","4,506,197","4,940,249","5,317,903","5,936,944","6,412,897",,,
2006,"7,969,813","170,567","418,573","895,044","1,761,119","2,166,188","2,460,559","2,704,549","2,918,422","3,759,733","4,947,104","5,412,038","5,815,385","6,474,937","6,980,130",,,
2007,"8,621,963","219,494","503,678","1,030,091","1,971,021","2,411,916","2,729,468","2,992,467","3,223,396","4,128,240","5,401,825","5,898,437","6,329,354","7,032,507","7,571,084",,,
2008,"8,206,158","173,257","397,957","825,898","1,656,771","2,072,196","2,380,698","2,639,100","2,867,730","3,772,889","5,055,298","5,554,583","5,986,923","6,690,342","7,228,036",,,
2009,"7,578,641","126,242","281,687","601,504","1,304,627","1,684,139","1,973,637","2,219,853","2,439,146","3,317,402","4,570,256","5,057,761","5,478,063","6,159,780","6,678,194",,,
2010,"8,039,779","166,727","366,563","742,989","1,517,146","1,922,058","2,228,360","2,486,918","2,716,199","3,631,364","4,927,262","5,430,952","5,864,278","6,564,169","7,095,680",,,
2011,"8,317,188","144,984","342,338","737,251","1,555,701","1,984,960","2,306,674","2,578,137","2,818,879","3,774,978","5,120,188","5,640,585","6,088,552","6,810,489","7,356,627",,,
2012,"9,041,744","219,067","501,374","1,017,057","1,976,738","2,446,464","2,791,205","3,078,337","3,330,944","4,327,899","5,722,980","6,261,677","6,725,553","7,473,507","8,037,800",,,
2013,"9,033,840","168,992","384,881","815,662","1,719,794","2,195,723","2,550,046","2,847,179","3,109,388","4,143,498","5,591,750","6,151,678","6,633,611","7,409,491","7,995,603",,,
2014,"9,708,663","207,145","475,714","986,078","1,997,819","2,514,973","2,895,712","3,212,471","3,490,867","4,583,416","6,104,146","6,690,287","7,193,799","8,002,581","8,614,544",,,
2015,"10,142,620","214,647","495,201","1,033,473","2,094,906","2,636,987","3,034,889","3,366,920","3,658,556","4,803,327","6,389,094","6,997,737","7,519,683","8,360,826","8,998,075",,,
2016,"10,156,612","204,934","460,894","966,465","2,003,066","2,544,904","2,946,100","3,280,595","3,574,828","4,729,405","6,333,469","6,950,051","7,479,129","8,331,664","8,979,705",,,
2017,"10,936,500","256,250","565,453","1,150,471","2,301,449","2,889,391","3,321,003","3,680,328","3,995,037","5,220,949","6,913,130","7,561,368","8,118,508","9,019,611","9,706,054",,,
2018,"11,563,883","241,954","570,189","1,196,670","2,420,025","3,044,552","3,503,876","3,884,856","4,217,996","5,511,117","7,289,834","7,969,121","8,552,653","9,499,838","10,221,814",,,
2019,"11,882,850","214,487","522,449","1,140,517","2,393,383","3,042,810","3,523,664","3,921,774","4,269,727","5,621,027","7,472,188","8,177,266","8,783,586","9,766,007","10,517,131",,,
2020,"12,533,102","298,180","693,109","1,419,047","2,780,754","3,474,592","3,985,645","4,407,989","4,775,995","6,198,022","8,130,111","8,862,578","9,488,648","10,494,409","11,257,092",,,
2021,"14,722,246","442,772","1,043,040","2,105,765","3,872,395","4,696,443","5,288,349","5,768,825","6,182,180","7,745,525","9,828,343","10,613,602","11,286,435","12,368,649","13,191,209",,,
2022,"14,751,820","347,679","799,241","1,677,838","3,309,589","4,126,585","4,725,845","5,220,078","5,647,825","7,282,111","9,478,219","10,310,488","11,023,300","12,176,270","13,060,814",,,
Total income tax (millions of dollars):  [2],,,,,,,,,,,,,,,,,,
2001,"884,931","20,363","57,329","138,735","293,968","358,761","401,189","434,411","462,288","563,525","681,732","721,756","755,307","807,098","841,587",,,
2002,"794,282","16,728","48,388","119,894","262,820","323,052","362,355","393,407","419,871","513,320","620,746","656,602","687,111","731,873","760,808",,,
2003,"745,514","17,169","47,192","114,559","251,146","308,878","345,930","374,786","399,176","483,792","582,130","617,015","645,885","688,113","715,163",,,
2004,"829,096","21,437","59,739","141,937","300,802","367,392","409,259","440,979","467,165","558,007","659,803","694,983","724,830","769,074","797,040",,,
2005,"931,693","27,171","75,151","176,152","361,264","437,452","485,042","520,483","549,068","647,115","755,252","792,545","823,488","869,272","898,262",,,
2006,"1,020,438","30,860","83,499","196,358","401,610","485,109","536,823","575,603","607,088","715,108","832,153","872,385","905,569","954,823","985,657",,,
2007,"1,111,872","38,587","97,979","220,636","442,633","534,150","590,292","631,830","666,021","782,903","909,392","952,964","988,633","1,041,166","1,074,502",,,
2008,"1,028,669","33,136","83,085","187,200","385,857","470,285","523,500","563,684","597,246","711,873","837,561","880,244","915,035","965,691","996,815",,,
2009,"863,486","26,328","64,253","146,030","313,826","387,828","435,662","472,299","502,274","603,504","712,700","749,022","777,801","818,789","842,286",,,
2010,"949,144","31,453","76,390","169,734","354,810","436,043","488,303","528,045","560,649","670,319","787,407","826,796","858,000","901,560","926,782",,,
2011,"1,042,571","26,488","70,545","168,222","365,518","453,679","510,000","553,220","588,967","711,663","846,579","892,616","929,529","981,800","1,012,460",,,
2012,"1,184,978","38,563","97,902","220,414","451,328","550,934","613,192","660,121","698,543","831,445","975,377","1,024,046","1,063,388","1,119,368","1,152,063",,,
2013,"1,231,911","40,764","100,868","227,623","465,705","567,786","631,900","680,817","721,242","859,863","1,011,220","1,062,798","1,104,510","1,163,238","1,197,603",,,
2014,"1,374,379","49,740","123,288","272,826","542,640","656,229","727,556","780,687","824,153","974,124","1,137,716","1,192,679","1,236,678","1,299,383","1,336,637",,,
2015,"1,454,325","51,375","127,236","283,577","567,697","688,137","763,764","820,335","866,447","1,026,601","1,201,501","1,259,698","1,306,271","1,373,073","1,413,200",,,
2016,"1,442,385","46,845","115,384","261,423","538,257","658,950","735,763","793,331","839,898","1,002,072","1,180,713","1,240,010","1,288,231","1,356,952","1,398,523",,,
2017,"1,601,309","61,750","143,024","309,765","615,979","748,944","833,142","895,962","946,954","1,122,158","1,314,957","1,378,757","1,430,369","1,505,513","1,551,537",,,
2018,"1,536,178","55,455","139,455","310,631","615,716","737,900","815,821","876,470","926,367","1,096,343","1,279,036","1,336,041","1,382,868","1,450,202","1,491,041",,,
2019,"1,578,661","49,185","128,817","297,920","612,027","739,896","822,470","886,070","938,429","1,117,856","1,308,416","1,367,843","1,416,809","1,487,163","1,530,288",,,
2020,"1,708,081","70,771","174,466","376,728","722,732","860,441","948,113","1,016,226","1,071,681","1,258,335","1,450,659","1,511,786","1,560,458","1,628,375","1,668,410",,,
2021,"2,193,150","102,301","254,644","542,053","1,004,063","1,180,141","1,290,041","1,372,665","1,439,657","1,662,623","1,887,736","1,956,857","2,013,237","2,093,279","2,141,925",,,
2022,"2,136,333","81,536","198,213","439,722","863,631","1,038,341","1,148,789","1,233,537","1,303,206","1,537,563","1,786,154","1,862,269","1,925,043","2,016,671","2,073,129",,,
Average tax rate (percentage): [3],,,,,,,,,,,,,,,,,,
2001,14.47,24.04,26.46,28.17,27.6,26.36,25.35,24.57,23.91,21.68,19.17,18.35,17.72,16.78,16.08,,,
2002,13.28,24.4,26.97,28.48,27.37,25.9,24.76,23.87,23.17,20.76,18.09,17.23,16.58,15.61,14.87,,,
2003,12.11,20.63,22.91,24.6,24.38,23.28,22.32,21.55,20.92,18.7,16.29,15.57,15.02,14.17,13.53,,,
2004,12.31,19.15,21.3,23.06,23.52,22.81,22.05,21.39,20.83,18.8,16.45,15.71,15.16,14.32,13.68,,,
2005,12.65,18.95,20.73,22.48,23.15,22.64,22.02,21.45,20.93,19.03,16.76,16.04,15.49,14.64,14.01,,,
2006,12.8,18.09,19.95,21.94,22.8,22.39,21.82,21.28,20.8,19.02,16.82,16.12,15.57,14.75,14.12,,,
2007,12.9,17.58,19.45,21.42,22.46,22.15,21.63,21.11,20.66,18.96,16.83,16.16,15.62,14.81,14.19,,,
2008,12.54,19.13,20.88,22.67,23.29,22.7,21.99,21.36,20.83,18.87,16.57,15.85,15.28,14.43,13.79,,,
2009,11.39,20.86,22.81,24.28,24.05,23.03,22.07,21.28,20.59,18.19,15.59,14.81,14.2,13.29,12.61,,,
2010,11.81,18.87,20.84,22.84,23.39,22.69,21.91,21.23,20.64,18.46,15.98,15.22,14.63,13.73,13.06,,,
2011,12.54,18.27,20.61,22.82,23.5,22.86,22.11,21.46,20.89,18.85,16.53,15.82,15.27,14.42,13.76,,,
2012,13.11,17.6,19.53,21.67,22.83,22.52,21.97,21.44,20.97,19.21,17.04,16.35,15.81,14.98,14.33,,,
2013,13.64,24.12,26.21,27.91,27.08,25.86,24.78,23.91,23.2,20.75,18.08,17.28,16.65,15.7,14.98,,,
2014,14.16,24.01,25.92,27.67,27.16,26.09,25.13,24.3,23.61,21.25,18.64,17.83,17.19,16.24,15.52,,,
2015,14.34,23.93,25.69,27.44,27.1,26.1,25.17,24.36,23.68,21.37,18.81,18,17.37,16.42,15.71,,,
2016,14.2,22.86,25.03,27.05,26.87,25.89,24.97,24.18,23.49,21.19,18.64,17.84,17.22,16.29,15.57,,,
2017,14.64,24.1,25.29,26.93,26.76,25.92,25.09,24.34,23.7,21.49,19.02,18.23,17.62,16.69,15.99,,,
2018,13.28,22.92,24.46,25.96,25.44,24.24,23.28,22.56,21.96,19.89,17.55,16.77,16.17,15.27,14.59,,,
2019,13.29,22.93,24.66,26.12,25.57,24.32,23.34,22.59,21.98,19.89,17.51,16.73,16.13,15.23,14.55,,,
2020,13.63,23.73,25.17,26.55,25.99,24.76,23.79,23.05,22.44,20.3,17.84,17.06,16.45,15.52,14.82,,,
2021,14.9,23.1,24.41,25.74,25.93,25.13,24.39,23.79,23.29,21.47,19.21,18.44,17.84,16.92,16.24,,,
2022,14.48,23.45,24.8,26.21,26.09,25.16,24.31,23.63,23.07,21.11,18.84,18.06,17.46,16.56,15.87,,,
Adjusted gross income share (percentage):,,,,,,,,,,,,,,,,,,
2001,100,1.38,3.54,8.05,17.41,22.25,25.87,28.91,31.61,42.5,58.13,64.31,69.71,78.64,85.6,,,
2002,100,1.15,3,7.04,16.05,20.85,24.47,27.55,30.29,41.33,57.36,63.71,69.26,78.39,85.5,,,
2003,100,1.35,3.35,7.56,16.73,21.55,25.17,28.24,30.99,42.01,58.03,64.34,69.84,78.87,85.87,,,
2004,100,1.66,4.16,9.14,18.99,23.92,27.56,30.61,33.31,44.07,59.56,65.68,71.01,79.76,86.51,,,
2005,100,1.95,4.92,10.64,21.19,26.23,29.9,32.94,35.61,46.17,61.18,67.07,72.2,80.6,87.06,,,
2006,100,2.14,5.25,11.23,22.1,27.18,30.87,33.93,36.62,47.17,62.07,67.91,72.97,81.24,87.58,,,
2007,100,2.55,5.84,11.95,22.86,27.97,31.66,34.71,37.39,47.88,62.65,68.41,73.41,81.57,87.81,,,
2008,100,2.11,4.85,10.06,20.19,25.25,29.01,32.16,34.95,45.98,61.6,67.69,72.96,81.53,88.08,,,
2009,100,1.67,3.72,7.94,17.21,22.22,26.04,29.29,32.18,43.77,60.3,66.74,72.28,81.28,88.12,,,
2010,100,2.07,4.56,9.24,18.87,23.91,27.72,30.93,33.78,45.17,61.29,67.55,72.94,81.65,88.26,,,
2011,100,1.74,4.12,8.86,18.7,23.87,27.73,31,33.89,45.39,61.56,67.82,73.2,81.88,88.45,,,
2012,100,2.42,5.55,11.25,21.86,27.06,30.87,34.05,36.84,47.87,63.3,69.25,74.38,82.66,88.9,,,
2013,100,1.87,4.26,9.03,19.04,24.31,28.23,31.52,34.42,45.87,61.9,68.1,73.43,82.02,88.51,,,
2014,100,2.13,4.9,10.16,20.58,25.9,29.83,33.09,35.96,47.21,62.87,68.91,74.1,82.43,88.73,,,
2015,100,2.12,4.88,10.19,20.65,26,29.92,33.2,36.07,47.36,62.99,68.99,74.14,82.43,88.72,,,
2016,100,2.02,4.54,9.52,19.72,25.06,29.01,32.3,35.2,46.56,62.36,68.43,73.64,82.03,88.41,,,
2017,100,2.34,5.17,10.52,21.04,26.42,30.37,33.65,36.53,47.74,63.21,69.14,74.23,82.47,88.75,,,
2018,100,2.09,4.93,10.35,20.93,26.33,30.3,33.59,36.48,47.66,63.04,68.91,73.96,82.15,88.39,,,
2019,100,1.81,4.4,9.6,20.14,25.61,29.65,33,35.93,47.3,62.88,68.82,73.92,82.19,88.51,,,
2020,100,2.38,5.53,11.32,22.19,27.72,31.8,35.17,38.11,49.45,64.87,70.71,75.71,83.73,89.82,,,
2021,100,3.01,7.08,14.3,26.3,31.9,35.92,39.18,41.99,52.61,66.76,72.09,76.66,84.01,89.6,,,
2022,100,2.36,5.42,11.37,22.44,27.97,32.04,35.39,38.29,49.36,64.25,69.89,74.73,82.54,88.54,,,
Total income tax share (percentage) [2]:,,,,,,,,,,,,,,,,,,
2001,100,2.3,6.48,15.68,33.22,40.54,45.34,49.09,52.24,63.68,77.04,81.56,85.35,91.2,95.1,,,
2002,100,2.11,6.09,15.09,33.09,40.67,45.62,49.53,52.86,64.63,78.15,82.67,86.51,92.14,95.79,,,
2003,100,2.3,6.33,15.37,33.69,41.43,46.4,50.27,53.54,64.89,78.08,82.76,86.64,92.3,95.93,,,
2004,100,2.59,7.21,17.12,36.28,44.31,49.36,53.19,56.35,67.3,79.58,83.82,87.42,92.76,96.13,,,
2005,100,2.92,8.07,18.91,38.78,46.95,52.06,55.86,58.93,69.46,81.06,85.07,88.39,93.3,96.41,,,
2006,100,3.02,8.18,19.24,39.36,47.54,52.61,56.41,59.49,70.08,81.55,85.49,88.74,93.57,96.59,,,
2007,100,3.47,8.81,19.84,39.81,48.04,53.09,56.83,59.9,70.41,81.79,85.71,88.92,93.64,96.64,,,
2008,100,3.22,8.08,18.2,37.51,45.72,50.89,54.8,58.06,69.2,81.42,85.57,88.95,93.88,96.9,,,
2009,100,3.05,7.44,16.91,36.34,44.91,50.45,54.7,58.17,69.89,82.54,86.74,90.08,94.82,97.54,,,
2010,100,3.31,8.05,17.88,37.38,45.94,51.45,55.63,59.07,70.62,82.96,87.11,90.4,94.99,97.64,,,
2011,100,2.54,6.77,16.14,35.06,43.52,48.92,53.06,56.49,68.26,81.2,85.62,89.16,94.17,97.11,,,
2012,100,3.25,8.26,18.6,38.09,46.49,51.75,55.71,58.95,70.17,82.31,86.42,89.74,94.46,97.22,,,
2013,100,3.31,8.19,18.48,37.8,46.09,51.29,55.27,58.55,69.8,82.09,86.27,89.66,94.43,97.22,,,
2014,100,3.62,8.97,19.85,39.48,47.75,52.94,56.8,59.97,70.88,82.78,86.78,89.98,94.54,97.25,,,
2015,100,3.53,8.75,19.5,39.04,47.32,52.52,56.41,59.58,70.59,82.62,86.62,89.82,94.41,97.17,,,
2016,100,3.25,8,18.12,37.32,45.68,51.01,55,58.23,69.47,81.86,85.97,89.31,94.08,96.96,,,
2017,100,3.86,8.93,19.34,38.47,46.77,52.03,55.95,59.14,70.08,82.12,86.1,89.33,94.02,96.89,,,
2018,100,3.61,9.08,20.22,40.08,48.03,53.11,57.06,60.3,71.37,83.26,86.97,90.02,94.4,97.06,,,
2019,100,3.12,8.16,18.87,38.77,46.87,52.1,56.13,59.44,70.81,82.88,86.65,89.75,94.2,96.94,,,
2020,100,4.14,10.21,22.06,42.31,50.37,55.51,59.5,62.74,73.67,84.93,88.51,91.36,95.33,97.68,,,
